,number_of_words,number_of_sentences,avg_word_length,POS_CC_Count,POS_)_Count,POS_POS_Count,POS_IN_Count,POS_NNP_Count,POS_$_Count,POS_MD_Count,POS_JJ_Count,POS_RP_Count,POS_CD_Count,"POS_,_Count",POS_JJS_Count,POS_VBP_Count,POS_WP$_Count,POS_VBD_Count,POS_(_Count,POS_NN_Count,POS_VBG_Count,POS_RB_Count,POS_NNS_Count,POS_:_Count,POS_SYM_Count,POS_''_Count,POS_EX_Count,POS_PRP$_Count,POS_WP_Count,POS_PDT_Count,POS_``_Count,POS_VB_Count,POS_RBS_Count,POS_WDT_Count,POS_VBZ_Count,POS_JJR_Count,POS_DT_Count,POS_._Count,POS_VBN_Count,POS_FW_Count,POS_PRP_Count,POS_WRB_Count,POS_TO_Count,POS_UH_Count,POS_NNPS_Count,POS_RBR_Count
5644,15,1,3.733333333333333,0,4,0,0,3,0,0,1,0,4,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
2282,28,1,4.035714285714286,0,4,0,6,3,0,1,2,0,0,1,0,1,0,0,4,5,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,4,1,0,1,0,1,0,0,0
6479,20,1,4.75,0,4,0,1,3,0,0,1,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,1,0,0,0,0,2,0,0,1
4854,37,1,5.054054054054054,0,4,0,4,3,0,0,2,0,0,1,0,0,0,2,4,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,7,5,1,0,0,1,1,0,0,0
510,24,1,4.125,2,4,0,1,3,0,0,0,0,0,0,0,0,0,0,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,0,1,0,1,0,0,0
4247,45,1,5.022222222222222,1,4,0,2,3,0,4,3,1,0,0,1,0,0,0,4,15,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,6,5,1,0,0,1,0,0,0,0
6434,34,1,5.147058823529412,1,4,0,6,3,0,0,2,0,0,0,0,0,0,3,4,3,0,1,7,0,0,0,0,1,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,0
340,29,1,5.517241379310345,0,4,0,1,4,0,1,4,0,4,0,0,0,0,0,4,1,4,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,0,0
5636,51,1,4.392156862745098,0,4,0,4,5,0,0,3,0,1,0,0,1,0,6,4,6,1,2,6,0,0,0,0,0,0,0,0,3,1,0,0,1,3,6,0,0,4,1,2,0,0,1
2827,96,1,4.854166666666667,0,4,0,17,4,0,1,6,0,2,0,1,3,0,0,4,27,1,0,4,0,0,0,0,0,4,0,0,1,0,1,6,0,17,6,0,0,0,0,1,0,0,0
1920,43,1,4.930232558139535,0,4,0,6,6,0,0,2,0,2,1,0,0,0,4,4,7,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1,3,5,2,0,0,0,0,2,0,0,0
2103,31,1,4.548387096774194,1,4,0,2,7,0,1,1,0,0,3,0,0,0,1,4,2,0,1,2,0,0,0,0,0,1,0,0,3,0,0,0,0,4,1,0,0,2,0,2,0,0,1
1110,62,1,3.85483870967742,0,4,0,9,3,0,0,6,0,1,0,0,0,0,0,4,21,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,13,1,0,0,0,1,0,0,0,0
1353,36,1,4.611111111111111,4,4,0,2,4,0,0,5,0,0,0,0,1,0,1,4,7,0,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0
5051,13,1,4.538461538461538,0,4,0,1,0,0,0,0,0,5,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3065,15,1,5.0,0,4,0,0,4,0,0,2,0,0,0,0,0,0,0,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0
5541,23,1,3.9565217391304346,0,4,0,3,3,0,0,0,0,0,0,1,0,0,0,4,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,4,0,0,0,0,1,0,0,0
3660,30,1,4.366666666666666,0,4,0,2,16,0,0,2,0,0,8,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,1,0,0,0
739,104,1,4.596153846153846,2,4,0,9,3,0,5,4,0,2,2,0,1,0,0,4,25,2,2,13,0,0,0,0,1,0,0,0,9,0,1,2,2,12,8,0,0,0,2,6,0,0,1
6073,73,1,5.47945205479452,7,5,0,7,14,0,0,10,0,1,0,0,0,0,4,5,5,1,0,6,0,0,0,0,0,0,0,0,1,0,0,2,1,8,6,1,0,4,0,1,0,0,0
7751,27,1,5.074074074074074,0,4,0,3,4,0,0,0,0,0,0,0,1,0,1,4,10,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,0,0,0,0,1,0,0,0
3437,20,1,5.45,0,4,0,0,3,0,0,3,0,1,0,0,1,0,0,4,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1488,20,1,4.9,0,4,0,3,8,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,3,1,1,0,0,0,0,0,0,0
7201,37,1,4.378378378378378,0,4,0,2,3,0,0,5,0,0,0,6,5,0,0,4,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,0,0,1,0,0,0,0
2646,34,1,4.588235294117647,0,4,0,6,3,0,0,1,0,0,0,0,1,0,1,4,9,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0
6600,49,1,4.857142857142857,1,4,0,2,5,0,0,6,0,1,0,0,5,0,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,4,3,0,7,5,1,0,4,0,0,0,0,0
